symbol,date,entry_time,exit_time,direction,st_line_at_entry,scale_in_number,risk_usd,contracts,entry,exit,result,points,pnl_usd
NQU5,2025-07-30,2025-07-30 14:30:00+00:00,2025-07-30 23:45:00+00:00,long,23473.8,1,889.0000000000146,1,23518.25,23725.0,EOD,206.75,4135.0
NQU5,2025-07-30,2025-07-30 20:00:00+00:00,2025-07-30 23:45:00+00:00,long,23314.925,2,7046.500000000015,1,23667.25,23725.0,EOD,57.75,1155.0
NQU5,2025-07-31,,,,0.0,0,0.0,0,,,no_signals,0.0,0.0
NQU5,2025-08-01,,,,0.0,0,0.0,0,,,no_signals,0.0,0.0
NQU5,2025-08-03,,,,0.0,0,0.0,0,,,insufficient_data,0.0,0.0
NQU5,2025-08-04,,,,0.0,0,0.0,0,,,no_signals,0.0,0.0
NQU5,2025-08-05,2025-08-05 12:00:00+00:00,2025-08-05 23:45:00+00:00,long,23337.975,1,1250.500000000029,1,23400.5,23053.0,EOD,-347.5,-6950.0
NQU5,2025-08-06,2025-08-06 14:00:00+00:00,2025-08-06 23:45:00+00:00,long,23109.6,1,2193.000000000029,1,23219.25,23452.0,EOD,232.75,4655.0
NQU5,2025-08-07,2025-08-07 07:00:00+00:00,2025-08-07 23:45:00+00:00,long,23440.85,1,1173.000000000029,1,23499.5,23539.25,EOD,39.75,795.0
NQU5,2025-08-07,2025-08-07 22:00:00+00:00,2025-08-07 23:45:00+00:00,long,23421.9,2,2576.999999999971,1,23550.75,23539.25,EOD,-11.5,-230.0
NQU5,2025-08-08,2025-08-08 10:30:00+00:00,2025-08-08 20:45:00+00:00,long,23529.2,1,855.9999999999854,1,23572.0,23765.5,EOD,193.5,3870.0
NQU5,2025-08-08,2025-08-08 13:30:00+00:00,2025-08-08 20:45:00+00:00,long,23493.225,2,2205.500000000029,1,23603.5,23765.5,EOD,162.0,3240.0
NQU5,2025-08-10,,,,0.0,0,0.0,0,,,insufficient_data,0.0,0.0
NQU5,2025-08-11,2025-08-11 13:45:00+00:00,2025-08-11 23:45:00+00:00,long,23700.425,1,886.5000000000146,1,23744.75,23636.25,EOD,-108.5,-2170.0
NQU5,2025-08-12,2025-08-12 12:15:00+00:00,2025-08-12 23:45:00+00:00,long,23596.65,1,1441.999999999971,1,23668.75,23960.25,EOD,291.5,5830.0
NQU5,2025-08-12,2025-08-12 15:30:00+00:00,2025-08-12 23:45:00+00:00,long,23662.85,2,3833.000000000029,1,23854.5,23960.25,EOD,105.75,2115.0
NQU5,2025-08-13,,,,0.0,0,0.0,0,,,no_signals,0.0,0.0
