symbol,date,entry_time,exit_time,direction,entry,exit,tp,sl,points,pnl_usd,contracts,result
NQU4,2024-08-14,2024-08-14 10:30:00+00:00,2024-08-14 12:30:00+00:00,long,19112.0,19136.75,19136.75,19087.25,24.75,495.0,1,TP
NQU4,2024-08-14,2024-08-14 11:00:00+00:00,2024-08-14 11:30:00+00:00,short,19109.25,19115.25,19103.25,19115.25,-6.0,-120.0,1,SL
NQU4,2024-08-14,2024-08-14 11:30:00+00:00,2024-08-14 12:30:00+00:00,short,19103.25,19122.5,19084.0,19122.5,-19.25,-385.0,1,SL
NQU4,2024-08-14,2024-08-14 12:00:00+00:00,2024-08-14 12:30:00+00:00,long,19109.75,19128.25,19128.25,19091.25,18.5,370.0,1,TP
NQU4,2024-08-15,2024-08-15 10:30:00+00:00,2024-08-15 11:30:00+00:00,short,19136.5,19170.75,19102.25,19170.75,-34.25,-685.0,1,SL
NQU4,2024-08-15,2024-08-15 11:00:00+00:00,2024-08-15 11:30:00+00:00,short,19115.25,19174.5,19056.0,19174.5,-59.25,-1185.0,1,SL
NQU4,2024-08-15,2024-08-15 11:30:00+00:00,2024-08-15 13:00:00+00:00,long,19168.75,19225.5,19225.5,19112.0,56.75,1135.0,1,TP
NQU4,2024-08-15,2024-08-15 12:00:00+00:00,2024-08-15 12:30:00+00:00,short,19164.75,19177.5,19152.0,19177.5,-12.75,-255.0,1,SL
NQU4,2024-08-16,2024-08-16 10:30:00+00:00,2024-08-16 12:30:00+00:00,short,19593.25,19543.75,19543.75,19642.75,49.5,990.0,1,TP
NQU4,2024-08-16,2024-08-16 11:00:00+00:00,2024-08-16 11:30:00+00:00,long,19594.0,19578.0,19610.0,19578.0,-16.0,-320.0,1,SL
NQU4,2024-08-16,2024-08-16 11:30:00+00:00,2024-08-16 12:30:00+00:00,short,19572.75,19546.5,19546.5,19599.0,26.25,525.0,1,TP
NQU4,2024-08-16,2024-08-16 12:00:00+00:00,2024-08-16 12:30:00+00:00,short,19555.75,19511.0,19511.0,19600.5,44.75,895.0,1,TP
NQU4,2024-08-19,2024-08-19 10:30:00+00:00,2024-08-19 12:30:00+00:00,long,19597.5,19632.0,19632.0,19563.0,34.5,690.0,1,TP
NQU4,2024-08-19,2024-08-19 11:00:00+00:00,2024-08-19 11:30:00+00:00,short,19581.5,19606.0,19557.0,19606.0,-24.5,-490.0,1,SL
NQU4,2024-08-19,2024-08-19 11:30:00+00:00,2024-08-19 14:00:00+00:00,long,19613.25,19577.5,19649.0,19577.5,-35.75,-715.0,1,SL
NQU4,2024-08-19,2024-08-19 12:00:00+00:00,2024-08-19 12:30:00+00:00,short,19611.0,19618.5,19603.5,19618.5,-7.5,-150.0,1,SL
NQU4,2024-08-20,2024-08-20 10:30:00+00:00,2024-08-20 13:00:00+00:00,short,19875.0,19850.75,19850.75,19899.25,24.25,485.0,1,TP
NQU4,2024-08-20,2024-08-20 11:00:00+00:00,2024-08-20 11:30:00+00:00,long,19876.5,19884.0,19884.0,19869.0,7.5,150.0,1,TP
NQU4,2024-08-20,2024-08-20 11:30:00+00:00,2024-08-20 13:00:00+00:00,short,19870.75,19849.5,19849.5,19892.0,21.25,425.0,1,TP
NQU4,2024-08-20,2024-08-20 12:00:00+00:00,2024-08-20 12:30:00+00:00,long,19874.0,19878.75,19878.75,19869.25,4.75,95.0,1,TP
NQU4,2024-08-21,2024-08-21 10:30:00+00:00,2024-08-21 11:00:00+00:00,long,19815.0,19838.25,19838.25,19791.75,23.25,465.0,1,TP
NQU4,2024-08-21,2024-08-21 11:00:00+00:00,2024-08-21 14:30:00+00:00,long,19842.75,19890.5,19890.5,19795.0,47.75,955.0,1,TP
NQU4,2024-08-21,2024-08-21 11:30:00+00:00,2024-08-21 14:00:00+00:00,long,19844.5,19874.0,19874.0,19815.0,29.5,590.0,1,TP
NQU4,2024-08-21,2024-08-21 12:00:00+00:00,2024-08-21 13:00:00+00:00,short,19830.25,19861.75,19798.75,19861.75,-31.5,-630.0,1,SL
