symbol,date,entry_time,exit_time,direction,entry,tp,sl,points,pnl_usd,contracts,result
NQU5,2025-07-14,2025-07-14 13:30:00+00:00,2025-07-14 14:00:00+00:00,long,22942.0,22996.25,22887.75,-54.25,-1085.0,1,SL
NQU5,2025-07-14,2025-07-14 14:00:00+00:00,2025-07-14 14:30:00+00:00,short,22914.0,22883.5,22944.5,-30.5,-610.0,1,SL
NQU5,2025-07-15,2025-07-15 14:00:00+00:00,2025-07-15 20:00:00+00:00,short,23141.0,23063.0,23219.0,78.0,1560.0,1,TP
NQU5,2025-07-16,2025-07-16 13:30:00+00:00,2025-07-16 14:00:00+00:00,short,23067.0,23049.0,23085.0,-18.0,-360.0,1,SL
NQU5,2025-07-16,2025-07-16 14:00:00+00:00,2025-07-16 16:00:00+00:00,short,22961.25,22844.0,23078.5,117.25,2345.0,1,TP
NQU5,2025-07-17,2025-07-17 13:30:00+00:00,2025-07-17 14:00:00+00:00,short,23094.5,23041.5,23147.5,-53.0,-1060.0,1,SL
NQU5,2025-07-17,2025-07-17 14:00:00+00:00,2025-07-17 15:30:00+00:00,long,23155.5,23216.75,23094.25,61.25,1225.0,1,TP
NQU5,2025-07-18,2025-07-18 13:30:00+00:00,2025-07-18 14:00:00+00:00,long,23296.5,23337.5,23255.5,-41.0,-820.0,1,SL
NQU5,2025-07-18,2025-07-18 14:00:00+00:00,2025-07-18 14:30:00+00:00,short,23292.0,23263.25,23320.75,28.75,575.0,1,TP
NQU5,2025-07-21,2025-07-21 13:30:00+00:00,2025-07-21 14:00:00+00:00,long,23259.5,23283.0,23236.0,23.5,470.0,1,TP
NQU5,2025-07-21,2025-07-21 14:00:00+00:00,2025-07-21 20:00:00+00:00,long,23384.5,23545.25,23223.75,-43.0,-860.0,1,EOD
NQU5,2025-07-22,2025-07-22 13:30:00+00:00,2025-07-22 14:00:00+00:00,long,23344.0,23362.75,23325.25,-18.75,-375.0,1,SL
NQU5,2025-07-22,2025-07-22 14:00:00+00:00,2025-07-22 20:00:00+00:00,short,23134.0,22918.25,23349.75,-85.0,-1700.0,1,EOD
NQU5,2025-07-23,2025-07-23 13:30:00+00:00,2025-07-23 14:00:00+00:00,long,23255.0,23279.75,23230.25,-24.75,-495.0,1,SL
NQU5,2025-07-23,2025-07-23 14:00:00+00:00,2025-07-23 16:00:00+00:00,short,23163.5,23052.25,23274.75,-111.25,-2225.0,1,SL
NQU5,2025-07-24,2025-07-24 13:30:00+00:00,2025-07-24 14:30:00+00:00,long,23368.0,23408.75,23327.25,-40.75,-815.0,1,SL
NQU5,2025-07-24,2025-07-24 14:00:00+00:00,2025-07-24 14:30:00+00:00,short,23363.0,23346.75,23379.25,16.25,325.0,1,TP
NQU5,2025-07-25,2025-07-25 13:30:00+00:00,2025-07-25 14:00:00+00:00,short,23362.25,23338.0,23386.5,-24.25,-485.0,1,SL
NQU5,2025-07-25,2025-07-25 14:00:00+00:00,2025-07-25 16:30:00+00:00,long,23392.0,23437.25,23346.75,45.25,905.0,1,TP
NQU5,2025-07-28,2025-07-28 13:30:00+00:00,2025-07-28 14:00:00+00:00,short,23473.0,23425.0,23521.0,-48.0,-960.0,1,SL
NQU5,2025-07-28,2025-07-28 14:00:00+00:00,2025-07-28 15:30:00+00:00,long,23520.75,23575.25,23466.25,-54.5,-1090.0,1,SL
