symbol,date,entry_time,exit_time,direction,or_high,or_low,stop_pts,tp_pts,contracts,risk_usd,entry,tp,sl,exit,result,points,pnl_usd
NQU5,2025-07-30,2025-07-30 13:45:06+00:00,2025-07-30 13:45:23+00:00,long,23510.0,23450.75,29.625,3.5,4,2370.0,23510.5,23514.0,23480.875,23514.0,TP,3.5,280.0
NQU5,2025-07-31,2025-07-31 13:45:32+00:00,2025-07-31 13:45:32+00:00,short,23752.0,23620.25,65.875,5.0,2,2635.0,23619.75,23614.75,23685.625,23614.75,TP,5.0,200.0
NQU5,2025-08-01,,,,23095.75,22918.0,88.875,0.0,0,3555.0,,,,,skip_risk_cap,0.0,0.0
NQU5,2025-08-03,,,,0.0,0.0,0.0,0.0,0,0.0,,,,,no_data,0.0,0.0
NQU5,2025-08-04,2025-08-04 13:45:01+00:00,2025-08-04 13:45:08+00:00,long,23197.0,23088.75,54.125,5.0,2,2165.0,23197.5,23202.5,23143.375,23202.5,TP,5.0,200.0
NQU5,2025-08-05,2025-08-05 13:45:01+00:00,2025-08-05 13:45:24+00:00,long,23363.0,23303.5,29.75,3.5,4,2380.0,23363.5,23367.0,23333.75,23367.0,TP,3.5,280.0
NQU5,2025-08-06,,,,23228.25,23148.5,39.875,0.0,0,3190.0,,,,,skip_risk_cap,0.0,0.0
NQU5,2025-08-07,2025-08-07 13:45:53+00:00,2025-08-07 13:45:54+00:00,short,23648.0,23582.0,33.0,4.0,4,2640.0,23581.5,23577.5,23614.5,23577.5,TP,4.0,320.0
NQU5,2025-08-08,2025-08-08 13:45:10+00:00,2025-08-08 13:45:15+00:00,long,23614.25,23530.0,42.125,5.0,2,1685.0,23614.75,23619.75,23572.625,23619.75,TP,5.0,200.0
NQU5,2025-08-10,,,,0.0,0.0,0.0,0.0,0,0.0,,,,,no_data,0.0,0.0
NQU5,2025-08-11,2025-08-11 13:57:15+00:00,2025-08-11 13:57:21+00:00,long,23738.25,23680.75,28.75,3.5,4,2300.0,23738.75,23742.25,23710.0,23742.25,TP,3.5,280.0
NQU5,2025-08-12,2025-08-12 13:48:30+00:00,2025-08-12 13:48:32+00:00,short,23808.25,23710.25,49.0,5.0,2,1960.0,23709.75,23704.75,23758.75,23704.75,TP,5.0,200.0
NQU5,2025-08-13,2025-08-13 13:45:52+00:00,2025-08-13 13:50:49+00:00,short,24068.5,24028.75,19.875,2.5,4,1590.0,24028.25,24025.75,24048.125,24048.125,SL,-19.875,-1590.0
