date,picked_symbol,has_data
2025-07-13,NQU5,1
2025-07-14,NQU5,1
2025-07-15,NQU5,1
2025-07-16,NQU5,1
2025-07-17,NQU5,1
2025-07-18,NQU5,1
2025-07-20,NQU5,1
2025-07-21,NQU5,1
2025-07-22,NQU5,1
2025-07-23,NQU5,1
2025-07-24,NQU5,1
2025-07-25,NQU5,1
2025-07-27,NQU5,1
2025-07-28,NQU5,1
2025-07-29,NQU5,1
2025-07-30,NQU5,1
2025-07-31,NQU5,1
2025-08-01,NQU5,1
2025-08-03,NQU5,1
2025-08-04,NQU5,1
2025-08-05,NQU5,1
2025-08-06,NQU5,1
2025-08-07,NQU5,1
2025-08-08,NQU5,1
2025-08-10,NQU5,1
2025-08-11,NQU5,1
2025-08-12,NQU5,1
2025-08-13,NQU5,1
