Numéro d'ordre;Instrument;Compte;Stratégie;Pos. marché.;Qté;Prix d’entrée;Prix de sortie;Heure d’entrée;Heure de sortie;Nom d’entrée;Nom de la sortie;Profit;Bénéfice net cumulé;Commission;MAE;MFE;ETD;Barres;
1;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2780,0;2782,2;06/01/2025 15:45:00;06/01/2025 15:45:00;Long_TP1;Profit target;20,48 $;20,48 $;1,52 $;0,00 $;22,00 $;1,52 $;1;
2;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2780,0;2786,6;06/01/2025 15:45:00;06/01/2025 15:45:00;Long_TP2;Profit target;64,48 $;84,96 $;1,52 $;0,00 $;66,00 $;1,52 $;2;
3;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2780,0;2792,1;06/01/2025 15:45:00;06/01/2025 18:00:02;Long_TP3;Profit target;119,48 $;204,44 $;1,52 $;0,00 $;121,00 $;1,52 $;5;
4;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2810,0;2803,9;07/01/2025 16:01:12;07/01/2025 16:05:04;Short_TP1;Profit target;59,48 $;263,92 $;1,52 $;0,00 $;61,00 $;1,52 $;2;
5;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2810,0;2805,5;07/01/2025 16:01:12;07/01/2025 22:59:44;Short_TP2;Exit on session close;43,48 $;307,40 $;1,52 $;0,00 $;100,00 $;56,52 $;4;
6;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2810,0;2805,5;07/01/2025 16:01:12;07/01/2025 22:59:44;Short_TP3;Exit on session close;43,48 $;350,88 $;1,52 $;0,00 $;100,00 $;56,52 $;4;
7;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2816,5;2811,7;08/01/2025 18:39:03;08/01/2025 18:39:03;Short_TP1;Profit target;46,48 $;397,36 $;1,52 $;0,00 $;48,00 $;1,52 $;1;
8;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2816,5;2821,3;08/01/2025 18:39:03;08/01/2025 21:50:00;Short_TP2;Stop loss;-49,52 $;347,84 $;1,52 $;48,00 $;50,00 $;99,52 $;2;
9;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2816,5;2821,3;08/01/2025 18:39:03;08/01/2025 21:50:00;Short_TP3;Stop loss;-49,52 $;298,32 $;1,52 $;48,00 $;50,00 $;99,52 $;2;
10;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2822,0;2822,0;08/01/2025 22:59:59;08/01/2025 22:59:59;Long_TP1;Exit on session close;-1,52 $;296,80 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
11;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2822,0;2822,0;08/01/2025 22:59:59;08/01/2025 22:59:59;Long_TP2;Exit on session close;-1,52 $;295,28 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
12;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2822,0;2822,0;08/01/2025 22:59:59;08/01/2025 22:59:59;Long_TP3;Exit on session close;-1,52 $;293,76 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
13;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2834,9;2834,9;09/01/2025 22:59:59;09/01/2025 22:59:59;Short_TP1;Stop loss;-1,52 $;292,24 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
14;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2834,9;2834,9;09/01/2025 22:59:59;09/01/2025 22:59:59;Short_TP2;Stop loss;-1,52 $;290,72 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
15;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2834,9;2834,9;09/01/2025 22:59:59;09/01/2025 22:59:59;Short_TP3;Stop loss;-1,52 $;289,20 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
16;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2870,0;2870,0;10/01/2025 15:46:28;10/01/2025 15:46:28;Long_TP1;Stop loss;-1,52 $;287,68 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
17;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2870,0;2870,0;10/01/2025 15:46:28;10/01/2025 15:46:28;Long_TP2;Stop loss;-1,52 $;286,16 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
18;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2870,0;2870,0;10/01/2025 15:46:28;10/01/2025 15:46:28;Long_TP3;Stop loss;-1,52 $;284,64 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
19;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2865,0;2872,8;10/01/2025 15:47:41;10/01/2025 16:33:05;Short_TP1;Stop loss;-79,52 $;205,12 $;1,52 $;78,00 $;50,00 $;129,52 $;3;
20;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2865,0;2872,8;10/01/2025 15:47:41;10/01/2025 16:33:05;Short_TP2;Stop loss;-79,52 $;125,60 $;1,52 $;78,00 $;50,00 $;129,52 $;3;
21;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2865,0;2872,8;10/01/2025 15:47:41;10/01/2025 16:33:05;Short_TP3;Stop loss;-79,52 $;46,08 $;1,52 $;78,00 $;50,00 $;129,52 $;3;
22;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2870,0;2870,0;10/01/2025 16:57:36;10/01/2025 16:57:36;Long_TP1;Stop loss;-1,52 $;44,56 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
23;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2870,0;2870,0;10/01/2025 16:57:36;10/01/2025 16:57:36;Long_TP2;Stop loss;-1,52 $;43,04 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
24;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2870,0;2870,0;10/01/2025 16:57:36;10/01/2025 16:57:36;Long_TP3;Stop loss;-1,52 $;41,52 $;1,52 $;0,00 $;0,00 $;1,52 $;1;
25;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2865,0;2859,9;10/01/2025 17:03:42;10/01/2025 22:59:55;Short_TP1;Exit on session close;49,48 $;91,00 $;1,52 $;50,00 $;51,00 $;1,52 $;4;
26;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2865,0;2859,9;10/01/2025 17:03:42;10/01/2025 22:59:55;Short_TP2;Exit on session close;49,48 $;140,48 $;1,52 $;50,00 $;51,00 $;1,52 $;4;
27;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2865,0;2859,9;10/01/2025 17:03:42;10/01/2025 22:59:55;Short_TP3;Exit on session close;49,48 $;189,96 $;1,52 $;50,00 $;51,00 $;1,52 $;4;
28;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2829,1;2827,0;13/01/2025 16:57:52;13/01/2025 16:57:52;Long_TP1;Stop loss;-22,52 $;167,44 $;1,52 $;21,00 $;0,00 $;22,52 $;1;
29;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2829,1;2827,0;13/01/2025 16:57:52;13/01/2025 16:57:52;Long_TP2;Stop loss;-22,52 $;144,92 $;1,52 $;21,00 $;0,00 $;22,52 $;1;
30;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2829,1;2827,0;13/01/2025 16:57:52;13/01/2025 16:57:52;Long_TP3;Stop loss;-22,52 $;122,40 $;1,52 $;21,00 $;0,00 $;22,52 $;1;
31;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2824,1;2819,6;13/01/2025 19:27:54;13/01/2025 19:27:54;Short_TP1;Profit target;43,48 $;165,88 $;1,52 $;0,00 $;45,00 $;1,52 $;1;
32;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2824,1;2823,6;13/01/2025 19:27:54;13/01/2025 22:59:49;Short_TP2;Exit on session close;3,48 $;169,36 $;1,52 $;0,00 $;50,00 $;46,52 $;2;
33;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2824,1;2823,6;13/01/2025 19:27:54;13/01/2025 22:59:49;Short_TP3;Exit on session close;3,48 $;172,84 $;1,52 $;0,00 $;50,00 $;46,52 $;2;
34;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2847,7;2856,4;15/01/2025 15:36:46;15/01/2025 18:06:08;Short_TP1;Stop loss;-88,52 $;84,32 $;1,52 $;87,00 $;50,00 $;138,52 $;3;
35;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2847,7;2856,4;15/01/2025 15:36:46;15/01/2025 18:06:08;Short_TP2;Stop loss;-88,52 $;-4,20 $;1,52 $;87,00 $;50,00 $;138,52 $;3;
36;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;2847,7;2856,4;15/01/2025 15:36:46;15/01/2025 18:06:08;Short_TP3;Stop loss;-88,52 $;-92,72 $;1,52 $;87,00 $;50,00 $;138,52 $;3;
37;MGC 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;2857,7;2861,4;15/01/2025 21:12:42;15/01/2025 21:12:42;Long_TP1;Profit target;35,48 $;-57,24 $;1,52 $;0,00 $;37,00 $;1,52 $;1;
