Numéro d'ordre;Instrument;Compte;Stratégie;Pos. marché.;Qté;Prix d’entrée;Prix de sortie;Heure d’entrée;Heure de sortie;Nom d’entrée;Nom de la sortie;Profit;Bénéfice net cumulé;Commission;MAE;MFE;ETD;Barres;
1;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23041,50;23058,50;01/07/2025 15:48:58;01/07/2025 15:50:56;Short_TP1;Stop loss;-35,74 $;-35,74 $;1,74 $;34,00 $;0,00 $;35,74 $;2;
2;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23041,50;23058,50;01/07/2025 15:48:58;01/07/2025 15:50:56;Short_TP2;Stop loss;-35,74 $;-71,48 $;1,74 $;34,00 $;0,00 $;35,74 $;2;
3;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23041,50;23058,50;01/07/2025 15:48:58;01/07/2025 15:50:56;Short_TP3;Stop loss;-35,74 $;-107,22 $;1,74 $;34,00 $;0,00 $;35,74 $;2;
4;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23054,00;23030,50;01/07/2025 15:59:04;01/07/2025 15:59:57;Long_TP1;Stop loss;-48,74 $;-155,96 $;1,74 $;47,00 $;0,00 $;48,74 $;2;
5;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23054,00;23030,50;01/07/2025 15:59:04;01/07/2025 15:59:57;Long_TP2;Stop loss;-48,74 $;-204,70 $;1,74 $;47,00 $;0,00 $;48,74 $;2;
6;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23054,00;23030,50;01/07/2025 15:59:04;01/07/2025 15:59:57;Long_TP3;Stop loss;-48,74 $;-253,44 $;1,74 $;47,00 $;0,00 $;48,74 $;2;
7;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23041,50;23058,50;01/07/2025 16:00:02;01/07/2025 16:13:56;Short_TP1;Stop loss;-35,74 $;-289,18 $;1,74 $;34,00 $;25,00 $;60,74 $;4;
8;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23041,50;23058,50;01/07/2025 16:00:02;01/07/2025 16:13:56;Short_TP2;Stop loss;-35,74 $;-324,92 $;1,74 $;34,00 $;25,00 $;60,74 $;4;
9;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23041,50;23058,50;01/07/2025 16:00:02;01/07/2025 16:13:56;Short_TP3;Stop loss;-35,74 $;-360,66 $;1,74 $;34,00 $;25,00 $;60,74 $;4;
10;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23066,50;23030,50;01/07/2025 16:15:14;01/07/2025 16:22:01;Long_TP1;Stop loss;-73,74 $;-434,40 $;1,74 $;72,00 $;25,00 $;98,74 $;4;
11;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23066,50;23030,50;01/07/2025 16:15:14;01/07/2025 16:22:01;Long_TP2;Stop loss;-73,74 $;-508,14 $;1,74 $;72,00 $;25,00 $;98,74 $;4;
12;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23066,50;23030,50;01/07/2025 16:15:14;01/07/2025 16:22:01;Long_TP3;Stop loss;-73,74 $;-581,88 $;1,74 $;72,00 $;25,00 $;98,74 $;4;
13;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23029,00;22999,50;01/07/2025 16:22:08;01/07/2025 16:28:22;Short_TP1;Profit target;57,26 $;-524,62 $;1,74 $;0,00 $;59,00 $;1,74 $;3;
14;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23029,00;22940,50;01/07/2025 16:22:08;01/07/2025 16:46:32;Short_TP3;Profit target;175,26 $;-349,36 $;1,74 $;0,00 $;177,00 $;1,74 $;10;
15;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23029,00;22866,75;01/07/2025 16:22:08;01/07/2025 17:08:32;Short_TP2;Profit target;322,76 $;-26,60 $;1,74 $;0,00 $;324,50 $;1,74 $;21;
16;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;22921,25;22951,75;02/07/2025 15:36:44;02/07/2025 15:45:29;Long_TP1;Profit target;59,26 $;32,66 $;1,74 $;0,00 $;61,00 $;1,74 $;3;
17;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;22921,25;23012,75;02/07/2025 15:36:44;02/07/2025 16:25:51;Long_TP3;Profit target;181,26 $;213,92 $;1,74 $;0,00 $;183,00 $;1,74 $;8;
18;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;22921,25;23090,50;02/07/2025 15:36:44;02/07/2025 22:59:59;Long_TP2;Profit target;336,76 $;550,68 $;1,74 $;0,00 $;338,50 $;1,74 $;26;
19;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23209,00;23251,00;03/07/2025 15:31:39;03/07/2025 16:00:35;Long_TP1;Profit target;82,26 $;632,94 $;1,74 $;75,00 $;84,00 $;1,74 $;10;
20;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23209,00;23296,25;03/07/2025 15:31:39;03/07/2025 19:14:59;Long_TP2;Exit on session close;172,76 $;805,70 $;1,74 $;75,00 $;250,00 $;77,24 $;26;
21;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23209,00;23296,25;03/07/2025 15:31:39;03/07/2025 19:14:59;Long_TP3;Exit on session close;172,76 $;978,46 $;1,74 $;75,00 $;250,00 $;77,24 $;26;
22;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23146,25;23155,25;04/07/2025 15:41:33;04/07/2025 15:41:33;Short_TP1;Stop loss;-19,74 $;958,72 $;1,74 $;18,00 $;0,00 $;19,74 $;1;
23;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23146,25;23155,25;04/07/2025 15:41:33;04/07/2025 15:41:33;Short_TP2;Stop loss;-19,74 $;938,98 $;1,74 $;18,00 $;0,00 $;19,74 $;1;
24;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23146,25;23155,25;04/07/2025 15:41:33;04/07/2025 15:41:33;Short_TP3;Stop loss;-19,74 $;919,24 $;1,74 $;18,00 $;0,00 $;19,74 $;1;
25;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23146,25;23145,50;04/07/2025 15:58:45;04/07/2025 15:58:45;Long_TP1;Stop loss;-3,24 $;916,00 $;1,74 $;1,50 $;0,00 $;3,24 $;1;
26;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23146,25;23145,50;04/07/2025 15:58:45;04/07/2025 15:58:45;Long_TP2;Stop loss;-3,24 $;912,76 $;1,74 $;1,50 $;0,00 $;3,24 $;1;
27;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23146,25;23145,50;04/07/2025 15:58:45;04/07/2025 15:58:45;Long_TP3;Stop loss;-3,24 $;909,52 $;1,74 $;1,50 $;0,00 $;3,24 $;1;
28;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23146,25;23155,25;04/07/2025 15:59:44;04/07/2025 15:59:44;Short_TP1;Stop loss;-19,74 $;889,78 $;1,74 $;18,00 $;0,00 $;19,74 $;1;
29;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23146,25;23155,25;04/07/2025 15:59:44;04/07/2025 15:59:44;Short_TP2;Stop loss;-19,74 $;870,04 $;1,74 $;18,00 $;0,00 $;19,74 $;1;
30;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23146,25;23155,25;04/07/2025 15:59:44;04/07/2025 15:59:44;Short_TP3;Stop loss;-19,74 $;850,30 $;1,74 $;18,00 $;0,00 $;19,74 $;1;
31;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23158,75;23145,50;04/07/2025 16:30:36;04/07/2025 18:44:08;Long_TP1;Stop loss;-28,24 $;822,06 $;1,74 $;26,50 $;25,00 $;53,24 $;3;
32;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23158,75;23145,50;04/07/2025 16:30:36;04/07/2025 18:44:08;Long_TP2;Stop loss;-28,24 $;793,82 $;1,74 $;26,50 $;25,00 $;53,24 $;3;
33;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23158,75;23145,50;04/07/2025 16:30:36;04/07/2025 18:44:08;Long_TP3;Stop loss;-28,24 $;765,58 $;1,74 $;26,50 $;25,00 $;53,24 $;3;
34;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23141,75;23141,75;04/07/2025 18:59:59;04/07/2025 18:59:59;Short_TP1;Exit on session close;-1,74 $;763,84 $;1,74 $;0,00 $;0,00 $;1,74 $;1;
35;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23141,75;23141,75;04/07/2025 18:59:59;04/07/2025 18:59:59;Short_TP2;Exit on session close;-1,74 $;762,10 $;1,74 $;0,00 $;0,00 $;1,74 $;1;
36;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Court;1;23141,75;23141,75;04/07/2025 18:59:59;04/07/2025 18:59:59;Short_TP3;Exit on session close;-1,74 $;760,36 $;1,74 $;0,00 $;0,00 $;1,74 $;1;
37;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23193,25;23179,00;07/07/2025 15:32:10;07/07/2025 15:33:36;Long_TP1;Stop loss;-30,24 $;730,12 $;1,74 $;28,50 $;0,00 $;30,24 $;2;
38;MNQ 12-25;Backtest;PAX30_TrailingR_Runner;Long;1;23193,25;23179,00;07/07/2025 15:32:10;07/07/2025 15:33:36;Long_TP2;Stop loss;-30,24 $;699,88 $;1,74 $;28,50 $;0,00 $;30,24 $;2;
